Tag,Date,Time,PID,TID,Level,Message
M01FBA1,06-07,09:46:07.208,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 2ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 1914, flag:0x10, SPS:1, PPS:1, pts:625625
"
M01FBA7,06-07,09:46:07.237,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 2ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 2944, flag:0x10, SPS:1, PPS:1, pts:667333
"
M01FBAD,06-07,09:46:07.288,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 2925, flag:0x10, SPS:1, PPS:1, pts:709041
"
M01FBB2,06-07,09:46:07.338,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 1862, flag:0x10, SPS:1, PPS:1, pts:750750
"
M01FBB6,06-07,09:46:07.377,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 2772, flag:0x10, SPS:1, PPS:1, pts:792458
"
M01FBBC,06-07,09:46:07.421,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 2870, flag:0x10, SPS:1, PPS:1, pts:834166
"
M01FBC0,06-07,09:46:07.460,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 2936, flag:0x10, SPS:1, PPS:1, pts:875875
"
M01FBC6,06-07,09:46:07.512,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 2794, flag:0x10, SPS:1, PPS:1, pts:917583
"
M01FBCA,06-07,09:46:07.542,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 1917, flag:0x10, SPS:1, PPS:1, pts:959291
"
M01FBD5,06-07,09:46:07.592,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 3810, flag:0x10, SPS:1, PPS:1, pts:1001000
"
M01FBD9,06-07,09:46:07.623,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 2880, flag:0x10, SPS:1, PPS:1, pts:1042708
"
M01FBDD,06-07,09:46:07.674,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 2416, flag:0x10, SPS:1, PPS:1, pts:1084416
"
M01FBE1,06-07,09:46:07.704,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 4280, flag:0x10, SPS:1, PPS:1, pts:1126125
"
M01FBE5,06-07,09:46:07.757,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 2825, flag:0x10, SPS:1, PPS:1, pts:1167833
"
M01FBE9,06-07,09:46:07.788,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 2453, flag:0x10, SPS:1, PPS:1, pts:1209541
"
M01FBED,06-07,09:46:07.839,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 2563, flag:0x10, SPS:1, PPS:1, pts:1251250
"
M01FBF1,06-07,09:46:07.869,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 2564, flag:0x10, SPS:1, PPS:1, pts:1292958
"
M01FBFB,06-07,09:46:07.921,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 5033, flag:0x10, SPS:1, PPS:1, pts:1334666
"
M01FC02,06-07,09:46:07.960,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 3057, flag:0x10, SPS:1, PPS:1, pts:1376375
"
M01FC08,06-07,09:46:08.011,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 2405, flag:0x10, SPS:1, PPS:1, pts:1418083
"
M01FC0E,06-07,09:46:08.042,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 3392, flag:0x10, SPS:1, PPS:1, pts:1459791
"
M01FC12,06-07,09:46:08.092,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 2969, flag:0x10, SPS:1, PPS:1, pts:1501500
"
M01FC16,06-07,09:46:08.124,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 3272, flag:0x10, SPS:1, PPS:1, pts:1543208
"
M01FC1A,06-07,09:46:08.176,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 2473, flag:0x10, SPS:1, PPS:1, pts:1584916
"
M01FC2B,06-07,09:46:08.206,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 2ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 3828, flag:0x10, SPS:1, PPS:1, pts:1626625
"
M01FC30,06-07,09:46:08.255,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 3352, flag:0x10, SPS:1, PPS:1, pts:1668333
"
M01FC34,06-07,09:46:08.286,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 2995, flag:0x10, SPS:1, PPS:1, pts:1710041
"
M01FC38,06-07,09:46:08.337,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 2539, flag:0x10, SPS:1, PPS:1, pts:1751750
"
M01FC53,06-07,09:46:08.370,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 2ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 2457, flag:0x10, SPS:1, PPS:1, pts:1793458
"
M01FC5B,06-07,09:46:08.419,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 4225, flag:0x10, SPS:1, PPS:1, pts:1835166
"
M01FC5F,06-07,09:46:08.463,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 2923, flag:0x10, SPS:1, PPS:1, pts:1876875
"
M01FC63,06-07,09:46:08.502,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 2337, flag:0x10, SPS:1, PPS:1, pts:1918583
"
M01FC67,06-07,09:46:08.535,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 2574, flag:0x10, SPS:1, PPS:1, pts:1960291
"
M01FC6B,06-07,09:46:08.586,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 2305, flag:0x10, SPS:1, PPS:1, pts:2002000
"
M01FC6F,06-07,09:46:08.626,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 2897, flag:0x10, SPS:1, PPS:1, pts:2043708
"
M01FC73,06-07,09:46:08.676,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 2043, flag:0x10, SPS:1, PPS:1, pts:2085416
"
M01FC8B,06-07,09:46:08.708,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 2962, flag:0x10, SPS:1, PPS:1, pts:2127125
"
M01FCAE,06-07,09:46:08.761,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 2ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 2104, flag:0x10, SPS:1, PPS:1, pts:2168833
"
M01FCB5,06-07,09:46:08.787,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 1959, flag:0x10, SPS:1, PPS:1, pts:2210541
"
M01FD46,06-07,09:46:08.838,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 2527, flag:0x10, SPS:1, PPS:1, pts:2252250
"
M01FED0,06-07,09:46:08.869,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 3131, flag:0x10, SPS:1, PPS:1, pts:2293958
"
M01FEE2,06-07,09:46:08.920,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 4058, flag:0x10, SPS:1, PPS:1, pts:2335666
"
M01FF3B,06-07,09:46:08.950,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 3843, flag:0x10, SPS:1, PPS:1, pts:2377375
"
M020185,06-07,09:46:09.002,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 3699, flag:0x10, SPS:1, PPS:1, pts:2419083
"
M020313,06-07,09:46:09.042,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 3579, flag:0x10, SPS:1, PPS:1, pts:2460791
"
M02048F,06-07,09:46:09.097,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 7ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 3177, flag:0x10, SPS:1, PPS:1, pts:2502500
"
M0204FF,06-07,09:46:09.121,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 2886, flag:0x10, SPS:1, PPS:1, pts:2544208
"
M020761,06-07,09:46:09.171,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 3006, flag:0x10, SPS:1, PPS:1, pts:2585916
"
M020837,06-07,09:46:09.202,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 2657, flag:0x10, SPS:1, PPS:1, pts:2627625
"
M020A3A,06-07,09:46:09.253,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 2853, flag:0x10, SPS:1, PPS:1, pts:2669333
"
M020AD9,06-07,09:46:09.284,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 2678, flag:0x10, SPS:1, PPS:1, pts:2711041
"
M020BBC,06-07,09:46:09.334,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 2938, flag:0x10, SPS:1, PPS:1, pts:2752750
"
M020BC2,06-07,09:46:09.374,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 2844, flag:0x10, SPS:1, PPS:1, pts:2794458
"
M020BCC,06-07,09:46:09.418,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 2834, flag:0x10, SPS:1, PPS:1, pts:2836166
"
M020BE4,06-07,09:46:09.460,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 2519, flag:0x10, SPS:1, PPS:1, pts:2877875
"
M020BF2,06-07,09:46:09.500,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 2431, flag:0x10, SPS:1, PPS:1, pts:2919583
"
M020BFE,06-07,09:46:09.541,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 2350, flag:0x10, SPS:1, PPS:1, pts:2961291
"
M020C10,06-07,09:46:09.595,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 4ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 3192, flag:0x10, SPS:1, PPS:1, pts:3003000
"
M020C18,06-07,09:46:09.623,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 3241, flag:0x10, SPS:1, PPS:1, pts:3044708
"
M020C39,06-07,09:46:09.678,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 3ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 3635, flag:0x10, SPS:1, PPS:1, pts:3086416
"
M020CF4,06-07,09:46:09.721,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 4298, flag:0x10, SPS:1, PPS:1, pts:3128125
"
M020CF8,06-07,09:46:09.754,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 4457, flag:0x10, SPS:1, PPS:1, pts:3169833
"
M020CFE,06-07,09:46:09.804,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 4176, flag:0x10, SPS:1, PPS:1, pts:3211541
"
M020D02,06-07,09:46:09.834,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 4410, flag:0x10, SPS:1, PPS:1, pts:3253250
"
M020D08,06-07,09:46:09.885,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 4691, flag:0x10, SPS:1, PPS:1, pts:3294958
"
M020D0C,06-07,09:46:09.916,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 7148, flag:0x10, SPS:1, PPS:1, pts:3336666
"
M020D13,06-07,09:46:09.968,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 5483, flag:0x10, SPS:1, PPS:1, pts:3378375
"
M020D17,06-07,09:46:09.998,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 5259, flag:0x10, SPS:1, PPS:1, pts:3420083
"
M020D1B,06-07,09:46:10.059,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 5132, flag:0x10, SPS:1, PPS:1, pts:3461791
"
M020D1F,06-07,09:46:10.088,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 4909, flag:0x10, SPS:1, PPS:1, pts:3503500
"
M020D23,06-07,09:46:10.140,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 4405, flag:0x10, SPS:1, PPS:1, pts:3545208
"
M020D27,06-07,09:46:10.170,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 3801, flag:0x10, SPS:1, PPS:1, pts:3586916
"
M020D36,06-07,09:46:10.220,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 3353, flag:0x10, SPS:1, PPS:1, pts:3628625
"
M020D3A,06-07,09:46:10.250,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 4487, flag:0x10, SPS:1, PPS:1, pts:3670333
"
M020D3E,06-07,09:46:10.300,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 3719, flag:0x10, SPS:1, PPS:1, pts:3712041
"
M020D42,06-07,09:46:10.331,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 2865, flag:0x10, SPS:1, PPS:1, pts:3753750
"
M020D46,06-07,09:46:10.381,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 3126, flag:0x10, SPS:1, PPS:1, pts:3795458
"
M020D4A,06-07,09:46:10.421,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 3054, flag:0x10, SPS:1, PPS:1, pts:3837166
"
M020D4E,06-07,09:46:10.464,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 2104, flag:0x10, SPS:1, PPS:1, pts:3878875
"
M020D52,06-07,09:46:10.505,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 2605, flag:0x10, SPS:1, PPS:1, pts:3920583
"
M020D56,06-07,09:46:10.555,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 2688, flag:0x10, SPS:1, PPS:1, pts:3962291
"
